,stockCode,maxDrawdownDay,maxDrawdownHour,maxDrawdownMinute,slope,intercept,R^2,p,stdError
51,301262,0.10112359550561795,0.10868102288021536,0.05760286225402503,0.08978319327731103,25.96137142857142,0.9635047438163636,1.4104115704146626e-24,0.0030889532693096516
52,600692,0.19126213592233016,0.1959459459459459,0.04597701149425271,0.08893460656990071,7.086667226890757,0.9057952244593169,5.64034006517129e-18,0.005070108405799905
53,605389,0.06530898876404492,0.07703332139018268,0.07881944444444443,0.1775368983957219,21.180552941176472,0.9749183130773891,3.4743088549213746e-27,0.0050339383945619525
54,2575,0.16844602609727163,0.20838052095130236,0.07579787234042545,0.06754392666157372,5.562025210084034,0.9509053128956433,1.632295731121894e-22,0.0027130633012393394
55,2357,0.10532544378698222,0.11888111888111894,0.045801526717557293,0.053657754010695204,6.014823529411765,0.9602067333459468,5.639179739617554e-24,0.0019309895500403112
56,2587,0.10028653295128942,0.13942307692307693,0.06625766871165645,0.05546936592818946,6.160137815126051,0.962282166829129,2.3909468164627123e-24,0.001941334449217132
57,300651,0.22706681766704415,0.2666666666666667,0.06913073237508555,0.0634586707410237,13.355784873949581,0.9566026547753476,2.2617251637691678e-23,0.002389361008046373
58,600556,0.29161603888213855,0.29161603888213855,0.06270096463022504,0.07029885408708937,4.302833613445379,0.9024917241285572,9.807193356625871e-18,0.00408481489691675
59,600576,0.16338028169014074,0.17464788732394357,0.06892067620286088,0.07026035141329257,5.679645378151261,0.9378028853618576,7.234314576380508e-21,0.0031986348533439915
60,301081,0.10569948186528492,0.11305241521068855,0.07243243243243243,0.032161191749427054,8.468663865546219,0.9274614445036258,8.519880293290374e-20,0.0015899873292296535
61,2817,0.13573407202216062,0.13573407202216062,0.06176470588235293,0.022953705118410998,6.296969747899159,0.9107083884743036,2.387863785300824e-18,0.0012705550041659892
62,605088,0.10309641097818449,0.12939749292357458,0.053791557713858844,0.25012650878533227,19.634442016806723,0.990056009997513,1.2852436724417058e-33,0.004431341187574579
63,601011,0.23391812865497072,0.2577903682719546,0.08421052631578954,0.023428877005347595,2.3583058823529415,0.9414150144467311,2.7725018467603037e-21,0.0010331873653509885
64,603579,0.1238038277511961,0.13467217956290606,0.04876462938881664,0.051959663865546186,13.813959663865548,0.9144708638107892,1.1968122851563542e-18,0.002809075747489812
65,301283,0.1169686985172982,0.11894563426688642,0.050142247510668564,0.05281130634071803,26.99173109243698,0.9216736151048929,2.9183285650426923e-19,0.0027215566884791252
66,603102,0.107897384305835,0.12202970297029703,0.048648648648648575,0.15559679144385027,33.592152941176465,0.9532962049751212,7.334488149551832e-23,0.006088184453351175
67,605108,0.13980716253443523,0.1517826825127334,0.07939438700147705,0.1847300229182582,20.764307563025206,0.9184973729937627,5.52144611278893e-19,0.009727681424925142
